Sentence,Region,State,Sentiment
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northeastern Cultural Region,Manipur,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northeastern Cultural Region,Meghalaya,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northeastern Cultural Region,Arunachal Pradesh,neutral
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Northeastern Cultural Region,Nagaland,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Mizoram,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Nagaland,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Tripura,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Manipur,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Nagaland,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Tripura,positive
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Nagaland,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northeastern Cultural Region,Meghalaya,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northeastern Cultural Region,Assam,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northeastern Cultural Region,Sikkim,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Northeastern Cultural Region,Manipur,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Northeastern Cultural Region,Mizoram,neutral
शराब का सेवन पुरुषों और महिलाओं दोनों द्वारा किया जाता है।,Northeastern Cultural Region,Sikkim,neutral
